slide_a,slide_b,phash_hamming,same_case,flag_near_duplicate
TCGA-C8-A1HI-01Z-00-DX1,TCGA-D8-A27I-01Z-00-DX1,20,False,False
TCGA-AC-A6IV-01Z-00-DX1,TCGA-BH-A0H0-01Z-00-DX1,20,False,False
TCGA-C8-A12T-01Z-00-DX1,TCGA-E2-A15I-01Z-00-DX1,20,False,False
TCGA-C8-A12Q-01Z-00-DX1,TCGA-BH-A1FN-01Z-00-DX1,20,False,False
TCGA-AR-A1AL-01Z-00-DX1,TCGA-A2-A25E-01Z-00-DX1,20,False,False
TCGA-AC-A6IV-01Z-00-DX1,TCGA-C8-A12Q-01Z-00-DX1,20,False,False
TCGA-C8-A12T-01Z-00-DX1,TCGA-AC-A8OR-01Z-00-DX1,20,False,False
TCGA-LD-A7W6-01Z-00-DX1,TCGA-BH-A0AY-01Z-00-DX1,20,False,False
TCGA-E2-A1BD-01Z-00-DX1,TCGA-D8-A1Y1-01Z-00-DX2,20,False,False
TCGA-C8-A131-01Z-00-DX1,TCGA-AC-A8OR-01Z-00-DX1,20,False,False
TCGA-C8-A12W-01Z-00-DX1,TCGA-OL-A66P-01Z-00-DX1,20,False,False
TCGA-AN-A0XP-01Z-00-DX1,TCGA-A2-A4S0-01Z-00-DX1,20,False,False
TCGA-C8-A12Q-01Z-00-DX1,TCGA-BH-A1EV-01Z-00-DX1,20,False,False
TCGA-A8-A097-01Z-00-DX1,TCGA-BH-A0AY-01Z-00-DX1,20,False,False
TCGA-D8-A27I-01Z-00-DX1,TCGA-BH-A0E1-01Z-00-DX1,20,False,False
TCGA-A2-A25E-01Z-00-DX1,TCGA-OL-A66P-01Z-00-DX1,20,False,False
TCGA-C8-A131-01Z-00-DX1,TCGA-E2-A14S-01Z-00-DX1,20,False,False
TCGA-BH-A0H0-01Z-00-DX1,TCGA-BH-A0E1-01Z-00-DX1,20,False,False
TCGA-D8-A27E-01Z-00-DX1,TCGA-EW-A423-01Z-00-DX1,20,False,False
