pooler,n_eff,mae_deg_u03
mean,9572.802766808067,-0.0030565762904883054
gmean_p5,2574.8317203976458,-0.003478724005540196
lse_t1,9221.989324236481,-0.002257632873535226
top50,50.00000111758712,0.011699079505443605
max,1.0,0.002167740861574785
attention,9231.54964035975,-0.009002433480898492
q75,7179.400460472389,0.0028262757886647893
