pooler,noise_model,noise_level,pearson,spearman,mae,rmse,ret_mae,ret_pearson
mean,clean,0.0,0.5993104894207858,0.5915384615384616,0.1629446332794825,0.18867884512858624,1.0,1.0
mean,uniform,0.15,0.5846990903766877,0.5846153846153846,0.16425833458916347,0.19362188428651078,1.0080622557689747,0.9756196507452763
mean,uniform,0.3,0.5891834580721089,0.5338461538461539,0.15988805698899428,0.1940348177546889,0.9812416265023863,0.9831021957275196
mean,outlier,0.2,0.5652481192268122,0.5392307692307693,0.15587625872421265,0.19354603887993066,0.9566210042453734,0.943164068049445
mean,outlier,0.5,0.5866233805888957,0.54,0.1598942370988528,0.19334038213450405,0.9812795541698041,0.9788304909461009
gmean_p5,clean,0.0,0.7291102251650295,0.7092307692307692,0.14760121192391712,0.16792764429987966,1.0,1.0
gmean_p5,uniform,0.15,0.7383726670145649,0.6653846153846155,0.14897848969554903,0.16935197683927175,1.0093310735981074,1.0127037607344471
gmean_p5,uniform,0.3,0.6833084449052786,0.6476923076923076,0.14412248791837692,0.17731874968439948,0.9764316026935244,0.9371812674148358
gmean_p5,outlier,0.2,0.7785412622313189,0.7346153846153847,0.13896439822864534,0.16827374239672713,0.9414854825194543,1.0677963843602674
gmean_p5,outlier,0.5,0.6021194171552561,0.5576923076923077,0.1602520973690351,0.19526332353194722,1.0857099022441565,0.8258276956943926
lse_t1,clean,0.0,0.6230838607899203,0.6199999999999999,0.15960827739461267,0.18366159317393044,1.0,1.0
lse_t1,uniform,0.15,0.610932712783967,0.6130769230769231,0.15979094450887044,0.18763653187367663,1.0011444714349378,0.9804983746641286
lse_t1,uniform,0.3,0.6117400749470214,0.6238461538461538,0.15735064452107747,0.1901994153478949,0.9858551642158666,0.9817941266709787
lse_t1,outlier,0.2,0.6107217592456499,0.5684615384615384,0.15112009622192382,0.1861565170713165,0.9468186656027694,0.980159811026724
lse_t1,outlier,0.5,0.5812637906524319,0.5515384615384615,0.1621429120279948,0.19611622368480794,1.0158803457737693,0.9328821162460049
top50,clean,0.0,0.5177524989129725,0.4038461538461539,0.17156270248921712,0.20012413261144438,1.0,1.0
top50,uniform,0.15,0.40725078215263527,0.2353846153846154,0.18412990685717265,0.21471110481882838,1.0732513779837747,0.7865742473627131
top50,uniform,0.3,0.4177783359442135,0.2976923076923077,0.1832617819946607,0.21677645521239328,1.0681912754678067,0.8069074255002999
top50,outlier,0.2,0.4375087378153629,0.26153846153846155,0.1813532151117325,0.21356291297688854,1.057066672886729,0.8450152123532338
top50,outlier,0.5,0.3967958876065185,0.38461538461538464,0.17653090694316226,0.2169700260527172,1.0289585345874195,0.7663814050914215
max,clean,0.0,0.3592925958650772,0.2076923076923077,0.20284225186395644,0.23066114206126562,1.0,1.0
max,uniform,0.15,0.376268639054933,0.24307692307692308,0.19660630143165592,0.2301662799453519,0.969257142557839,1.0472485194107108
max,uniform,0.3,0.39930006515591693,0.25461538461538463,0.20500999272553122,0.2391906813947576,1.0106868309814894,1.1113506644758788
max,outlier,0.2,0.13159584506021968,0.06692307692307692,0.20723392950630184,0.2404413980541369,1.0216507044365237,0.3662637264855772
max,outlier,0.5,0.3064593594022801,0.16461538461538464,0.19216104355589547,0.2313742390275336,0.9473422908200373,0.8529520589323882
attention,clean,0.0,0.599204897306868,0.5615384615384615,0.16070053449694316,0.18829717248999078,1.0,1.0
attention,uniform,0.15,0.636263902681406,0.6269230769230768,0.159507836651961,0.18555643976658667,0.9925781339264628,1.06184696677397
attention,uniform,0.3,0.6755647223572112,0.6415384615384615,0.1516981010160446,0.17833189869151306,0.9439800651000959,1.1274352485995078
attention,outlier,0.2,0.6122925420170312,0.5553846153846154,0.15009644754266738,0.18702799624402372,0.9340133684839891,1.0218416851547538
attention,outlier,0.5,0.5475866420940055,0.5146153846153847,0.16988008228715262,0.20224936428096646,1.0571220737936255,0.9138554183304223
q75,clean,0.0,0.643578433217617,0.6076923076923076,0.15741605283244453,0.18006565617457285,1.0,1.0
q75,uniform,0.15,0.627348806361063,0.6453846153846153,0.15833937332248685,0.18401173490255196,1.005865478605445,0.9747822083232144
q75,uniform,0.3,0.6430309761208828,0.6499999999999999,0.16024232862110932,0.18413669621108908,1.017954177720827,0.9991493545021434
q75,outlier,0.2,0.6240590945745818,0.5776923076923076,0.15077570033772786,0.1840359326172256,0.957816548088747,0.9696706141232128
q75,outlier,0.5,0.5976739552711959,0.5653846153846154,0.16047045059251785,0.1946511229000192,1.0194033435924381,0.9286730636436676
